id,url_legal,license,excerpt,target,standard_error,kfold
30cab6ae4,https://www.africanstorybook.org/#,CC BY 4.0,"Long ago, there was a famine in the land of Taraba. People were forced to dig in ant hills to find grains. There was a man called Vyandeh who couldn't provide food for his family. One day, he said to his wife, ""Let me go and look for food."" He left. While he was away, the wife couldn't wait for his return. So, she cooked some pumpkin that she got from her mother for the children, Vyangel, Avaungwa and Jessica. Vyandeh come back late, with nothing for the family. The wife, Aershimana welcomed him and asked, ""Anything for the children to eat?"" He replied, ""No."" She gave him some pumpkin, but it didn't satisfy him. He asked, ""Where did you get the pumpkin?"" Aershimana replied, ""My mother keeps pumpkins on the roof of her room."" At midnight, Vyandeh woke up. He decided to go to his mother-in-law to steal the remaining pumpkins. He went to get a ladder. He put up the ladder and climbed to the old woman's roof. Vyandeh began to walk across the roof towards the pumpkins. Suddenly he fell through the roof, making a big noise! Pararam!",-0.40786566799999996,0.47339431,0
067254eba,https://simple.wikipedia.org/wiki/Containerization,CC BY-SA 3.0 and GFDL,"Containerization has its origins in coal mining regions in England from the late 18th century onwards. ""Loose boxes"" were used to containerize coal from the late 1780s, at places like the Bridgewater Canal. They were used for moving coal on and off barges.
By the 1830s, railroads on several continents were carrying containers that could be transferred to other modes of transport. The Liverpool and Manchester Railway in the United Kingdom was one such. ""Simple timber boxes, four to a wagon, they were used to convey coal from the Lancashire collieries to Liverpool, where they were transferred to horse drawn carts by crane"". By the 1840s, iron boxes were in use as well as wooden ones. The early 1900s saw closed container boxes designed for movement between road and rail.
In the United Kingdom, several railway companies were using similar containers by the beginning of the 20th century and in the 1920s the Railway Clearing House standardized the RCH container. Five- or ten-foot-long, wooden and non-stackable, these early standard containers were a great success.",-1.097923263,0.47015010100000004,0
7bcdf0b70,https://simple.wikipedia.org/wiki/Middle_Ages,CC BY-SA 3.0 and GFDL,"The Middle Ages are a time period in European history. They started around the year 476 CE when the Western Roman Empire ended, and continued until around the time Christopher Columbus discovered the New World in 1492. The 'Middle Ages' are called this because it is the time between the fall of Imperial Rome and the beginning of the Early modern Europe. This period of time is also known as the Medieval Age, the Dark Ages, or the Age of Faith (because of the rise of Christianity and Islam). When used narrowly, the term ""Dark Ages"" refer only to very early period, from 476 to 800 (when Charlemagne became king).
Across Europe, the fall of the Roman Empire, and the invasions of barbarian tribes, devastated towns and cities and their inhabitants. The Dark Ages are given this name because during this period of time Europe was in disarray, and it was not fun to live there and since few could write, little is known about it. Much of the knowledge that the Romans used (science, technology, medicine, and literature) was lost. The Dark Ages period was marked by mass migrations, wars and plagues.",-0.929454538,0.46422474799999996,0
29e0e6f3c,https://kids.frontiersin.org/article/10.3389/frym.2016.00019,CC BY 4.0,"Tuberculosis (TB) is a very important public health problem. It is estimated that in 2014, 9.6 million people developed TB, and almost 2 million people died of this disease, where India, Indonesia, and China presented almost half of the cases occurring in the world. TB is caused by a bacteria called Mycobacterium tuberculosis that is spread from person to person through the air, when someone with the disease coughs, talks, or sneezes. It is estimated that one third of the people infected with this bacteria do not get sick but still have the bacteria hiding in their bodies, in what doctors call a ""latent"" (or dormant) state.
There is only one vaccine currently approved for TB in humans, and it is called Mycobacterium bovis Bacillus Calmette–Guérin (BCG). This vaccine has been given to more than 3 billion people since it was developed in 1921, with around 115 million doses per year given to newborns. The BCG vaccine is made from living bacteria that have been weakened in the lab so that they are unable to cause disease. This type of vaccine, using weak but still living bacteria, is called a live attenuated vaccine.",-0.897239358,0.47227824700000004,0
124de178b,https://simple.wikipedia.org/wiki/Dormancy,CC BY-SA 3.0 and GFDL,"Dormancy is a period in an organism's life cycle when growth, development, and (in animals) physical activity are temporarily stopped. This minimizes metabolic activity and therefore helps an organism to conserve energy. Dormancy tends to be closely associated with environmental conditions. Organisms can synchronize entry to a dormant phase with their environment through predictive or consequential means.
Predictive dormancy occurs when an organism enters a dormant phase before the onset of adverse conditions. For example, day length and decreasing temperature are used by many plants as triggers to start dormancy before the onset of winter. Consequential dormancy occurs when organisms enter a dormant phase after adverse conditions arise. This is often found in areas with an unpredictable climate. Sudden changes in conditions may lead to a high mortality rate among animals relying on consequential dormancy. On the other hand, its use can be advantageous, as organisms remain active longer and are able to make greater use of available resources.",-1.2391337070000001,0.46093677200000005,0
93882c9cf,https://en.wikipedia.org/wiki/Iron_Curtain,CC BY-SA 3.0,"The Iron Curtain formed the imaginary boundary dividing Europe into two separate areas from the end of World War II in 1945 until the end of the Cold War in 1991. The term symbolized efforts by the Soviet Union to block itself and its satellite states from open contact with the West and non-Soviet-controlled areas. On the east side of the Iron Curtain were the countries that were connected to or influenced by the Soviet Union. On either side of the Iron Curtain, states developed their own international economic and military alliances:
Member countries of the Council for Mutual Economic Assistance and the Warsaw Pact, with the Soviet Union as the leading state.
Member countries of the North Atlantic Treaty Organization (commonly abbreviated to NATO) and with the United States as the pre-eminent power.
Physically, the Iron Curtain took the form of border defenses between the countries of Europe in the middle of the continent. The most notable border was marked by the Berlin Wall and its Checkpoint Charlie, which served as a symbol of the Curtain as a whole.",-0.550844284,0.44149522799999996,0
25f93b2f6,http://static.ehe.osu.edu/sites/beyond/penguins/downloads/feature-stories/getting-warmer-k1-text.pdf,CC BY-SA 3.0,"The Sun’s light shines on Earth. The light makes our air, land, and water warm. But some things get
warmer than others.
Pretend it is a sunny day. If you wore a black shirt, you would feel hot. But if you wore a white shirt, you wouldn’t feel as hot. The dark color absorbs more of the Sun’s energy. That makes the black shirt warm.
Light colors reflect more of the Sun’s energy. This makes the white shirt cooler to wear. See for yourself! You need a piece of black paper and a piece of white paper. You also need two thermometers and a lamp. Ask an adult to help you.
Fold the black paper so it makes a pocket. Do the same thing to the white paper. Next, put a thermometer into the black pocket. Do the same thing to the white pocket. Then put the pockets under the lamp. Turn the lamp on, and wait for 10 minutes. Then check the thermometers.
Which pocket got hotter — the black pocket or the white one? Do you know why?",0.747774563,0.5048091610000001,0
6ee4f1df3,https://en.wikipedia.org/wiki/Black_hole,CC BY-SA 3.0,"A black hole is a region of spacetime exhibiting such strong gravitational effects that nothing—including particles and electromagnetic radiation such as light—can escape from inside it. The theory of general relativity predicts that a sufficiently compact mass can deform spacetime to form a black hole. The boundary of the region from which no escape is possible is called the event horizon. Although crossing the event horizon has enormous effect on the fate of the object crossing it, it appears to have no locally detectable features. In many ways a black hole acts like an ideal black body, as it reflects no light. Moreover, quantum field theory in curved spacetime predicts that event horizons emit Hawking radiation, with the same spectrum as a black body of a temperature inversely proportional to its mass. This temperature is on the order of billionths of a kelvin for black holes of stellar mass, making it essentially impossible to observe.",-0.7518473640000001,0.491939394,0
465d65831,https://kids.frontiersin.org/article/10.3389/frym.2013.00005,CC BY 4.0,"Researchers around the world are spending more and more time studying friendship. There is evidence showing that our brain responds more strongly to friends than strangers, even if the stranger has more in common with us. Spending time with friends has been shown to cause more activity in the parts of the brain that makes us feel good – the reward circuits. What is more, having long-lasting valuable social relations, including friendships, and an active social life appears to protect the brain from illnesses later in life such as dementia, the loss of nerve cells in the brain that affects the brains of many older adults.
In summary, the contribution of brain to human social interactions is complex and not yet fully understood. What is clear now is that our brain enjoys making friends and that spending time with them can have very positive effects on learning, health, and life in general.",0.574606638,0.5088957270000001,0
7c52601b9,https://www.commonlit.org/texts/the-progressive-era,CC BY-NC-SA 2.0,"Theodore Roosevelt, Jr. was the paramount trailblazer who gave the Progressive Era its name.
Famous for his strenuous lifestyle, swashbuckling and exuberant personality, our 26th president was a statesman honored by the Nobel Peace Prize for negotiating a treaty that ended the Russo-Japanese War; an author of 18 books (including a four volume history entitled The Winning of the West), a warrior who in the Spanish-American War led the legendary charge of the Rough Riders up the San Juan hill in Cuba; and a learned naturalist who explored remote regions of South America and Africa.
But Roosevelt's biggest claim to lasting fame was his bold leadership as the youngest President of the United States.
Deeply socially-conscious and furious at the greed and deceitful practices of big business leaders, Roosevelt fired his first barrage at what were then called ""the robber barons"" shortly after his inauguration in 1901. He delivered a 20,000-word speech to Congress calling for laws to curb the power of large corporations. 
He pressed forward with his populist crusade by supporting organized labor, promoting federal regulations to protect consumers, and launching 40 antitrust suits to break up major railroad companies and Standard Oil.",-1.054659865,0.506404642,0
